passenger_id,city,operating_system,GU subscription month,first vertical,predicted gender,predicted age 10year
3CK391VG524,A,Android,,GrabFood,Male,
7QP100TG488,A,iOS,,GrabFood,Female,2
9IZ253HT705,A,Android,,GrabFood,Female,
8GG988OE284,A,iOS,,GrabFood,Female,
4JQ031NA508,A,Android,,GrabFood,Female,2
9CM029HS914,A,iOS,,Transport,Male,
4OQ521VI562,B,iOS,,Transport,Male,
8RL238HE985,B,iOS,,Transport,Female,
1VC229YU303,G,iOS,,GrabFood,Male,
5ZJ460PY248,F,iOS,,GrabFood,Female,
5VZ347KK822,A,Android,,Transport,Male,
2UD311XI875,D,iOS,,Transport,Male,
3WF100PB352,B,Android,,GrabFood,Male,
3UN256LU856,H,Android,,GrabFood,Female,
1DV569XH399,H,Android,,GrabFood,Male,
5YK848IL765,H,Android,,GrabFood,Female,
2YD319EA601,H,Android,,GrabFood,Female,
8EE840YT189,H,Android,,GrabFood,Female,
5CX202SZ530,H,Android,,GrabFood,Male,
3XV443JH428,H,Android,,GrabFood,Female,
9AK402YV329,F,iOS,,GrabFood,Female,
9GO347LW465,C,iOS,Mar-22,Transport,Female,2
8PG752JI093,A,iOS,,Transport,Female,
5UO277AH300,B,iOS,,GrabFood,Female,
3SA488QH466,G,Android,,GrabFood,Female,
2WP845KL370,A,iOS,,Transport,Female,
3FN480ID835,G,iOS,,GrabMart,Female,
8RA119ZT379,G,Android,,GrabFood,Male,
4MB883VU571,G,iOS,,GrabExpress,Female,
3OZ414CA619,G,Android,,GrabFood,Male,
1AM132VG374,G,Android,,GrabFood,Female,
7CP309QP764,G,Android,,GrabFood,Female,
6MF443JC165,G,iOS,,GrabFood,Female,
1FF268DF915,G,Android,,GrabFood,Male,
2VU668OD970,G,iOS,,GrabFood,Male,
8OW265ZC858,G,iOS,,Transport,Female,
6YA642TN013,G,Android,,GrabFood,Male,
8XT060XO263,G,Android,,GrabFood,Female,
7HR782YZ317,G,Android,,GrabFood,Female,
3YA899WI332,G,Android,,GrabFood,Female,
6EI298TO288,G,Android,,GrabFood,Female,
7NG028FK004,G,Android,,GrabFood,Male,
3OR422VN834,G,Android,,GrabFood,Male,
9BV931FK177,G,iOS,,GrabFood,Female,
3MF780XM075,G,Android,,GrabFood,Female,
2TQ900CS203,G,iOS,,GrabFood,Female,
4QN670XQ781,G,iOS,,Transport,Male,
2ZK857LR839,G,Android,,GrabFood,Female,
5FZ681EF177,G,iOS,,GrabFood,Female,2
3DC906TZ596,G,iOS,,Transport,Female,2
8MF303NW048,G,Android,,GrabFood,Male,
8TV151RR708,D,Android,,Transport,Female,
5RM744YH779,A,iOS,,GrabFood,Female,2
1PR456JU531,A,Android,,GrabFood,Female,
5SX449EO837,D,Android,,GrabFood,Male,
1BU108WN790,A,iOS,,GrabFood,Male,
9MF513GN728,A,iOS,,Transport,Male,
8AM532TM488,A,iOS,,Transport,Male,
8CR398FI732,D,iOS,,Transport,Female,
2DO833YH824,C,Android,,Transport,Male,2
5MP299VL206,C,iOS,,Transport,Female,2
1YR784NZ378,C,iOS,,GrabFood,Male,
4HO755GI203,C,iOS,,GrabFood,Male,
6ZD238NN206,C,iOS,,GrabFood,Male,
1VJ146NT475,C,Android,,GrabFood,Male,
2BW743SE295,C,Android,,GrabFood,Female,
5OX636QC544,C,iOS,,GrabFood,Female,
5MU345JR490,C,Android,,GrabFood,Female,
5QT007KZ159,C,Android,,Transport,Male,
1PA690BY641,C,iOS,,Transport,Female,
3UD264BQ991,C,iOS,,GrabFood,Male,
9ZO485BR003,C,Android,,GrabFood,Female,
1LM116PJ377,C,iOS,,GrabFood,Female,
6GX891HA215,C,Android,,GrabFood,Female,
4PK134PR687,A,Android,,Transport,Female,
9UP886EW362,D,iOS,,GrabFood,Female,
4OQ505RC361,C,Android,,Transport,Female,
6TJ457NG821,C,Android,,GrabFood,Female,
3NN921ZR382,C,iOS,,GrabFood,Female,
5RI854PG134,C,iOS,Jun-22,GrabFood,Male,
7TV778OE662,G,iOS,,GrabFood,Female,
9WB058HA427,G,Android,,GrabFood,Female,
6IV969AP075,A,iOS,,Transport,Female,
4MY728XU988,A,iOS,,Transport,Female,
6BH677FO494,A,Android,,Transport,Female,
9SK994CZ406,A,Android,,Transport,Male,
4QU677XT446,A,iOS,,Transport,Female,
7LZ323RN935,A,iOS,,Transport,Female,
5EO091JO115,A,Android,,Transport,Female,
4HI981UM208,A,iOS,,GrabFood,Female,
6NQ319PG069,A,Android,,GrabFood,Female,2
9LJ742ZX317,A,iOS,,GrabFood,Male,
2KX733JV105,A,iOS,,GrabFood,Female,
1FO763KD813,A,Android,,GrabFood,Female,
1VB967UI400,A,Android,,Transport,Female,
7TJ945LM671,A,iOS,,Transport,Male,
1MK063GL020,B,Android,,Transport,Female,
6LT215LG465,B,iOS,,Transport,Female,
1RE629QP040,B,Android,,GrabFood,Male,
9EI931YI236,B,Android,,GrabFood,Male,
1SL707CT390,B,iOS,,GrabFood,Male,
4YC374FI990,B,Android,,GrabFood,Male,
1YR531IX718,B,Android,,GrabFood,Male,
9MR251EU152,B,Android,,GrabFood,Male,
8CU362XG743,B,Android,,GrabFood,Female,
7FB401SX647,B,Android,,GrabFood,Male,
2KX043XR882,B,Android,,Transport,Male,
5IE486ZS727,B,iOS,,GrabFood,Male,
1MH013EI720,B,Android,,GrabFood,Male,
2ZM222EV202,B,iOS,,GrabFood,Female,
7KN879OF028,B,Android,,GrabFood,Female,
9ML306SK006,B,Android,,GrabFood,Female,
1WY534NO908,B,Android,,GrabFood,Male,
4BI516QH316,B,Android,,Transport,Female,2
7EF382HQ520,A,Android,,Transport,Female,
6UJ468DM149,A,Android,,GrabFood,Male,
6XS496TG102,A,Android,,GrabFood,Male,
8WH794BB211,C,iOS,,GrabFood,Female,2
7GO475AI560,A,iOS,,Transport,Female,
3DH705GX517,A,iOS,,GrabFood,Male,
2UH465FB578,A,Android,,GrabFood,Female,
1FC886XV679,G,iOS,,GrabFood,Male,
2IV844HC896,C,Android,,GrabFood,Male,
8TG625FF471,C,Android,,GrabFood,Female,
5RM639FD071,C,iOS,,GrabFood,Female,
5NB940BZ435,C,iOS,,Transport,Female,
6MY685RR687,C,Android,,GrabFood,Male,
6RN955HJ165,C,Android,,GrabFood,Female,
2KX491RK293,A,Android,,Transport,Male,
4MY393OE177,A,Android,,Transport,Female,
9CQ687AN198,A,Android,,Transport,Male,
1JC315UX380,A,Android,,GrabFood,Male,
9SM255ZV717,A,Android,,GrabFood,Female,
8GZ964UC144,A,Android,,GrabFood,Male,
7MV828EA338,A,Android,,GrabFood,Female,
4CE756GJ717,A,iOS,,Transport,Female,
7YG243CK830,A,iOS,,Transport,Female,
9SS057GV753,A,Android,,GrabFood,Male,
4HQ563PF989,F,Android,,GrabFood,Female,
3VV508DR319,F,Android,,GrabFood,Male,
9WE312TJ634,A,iOS,,GrabFood,Male,2
3KR114QP669,G,iOS,,GrabFood,Female,
5GH117YK704,F,Android,,GrabFood,Female,
8GI999CW661,F,Android,,GrabFood,Male,
4JW792QM998,F,iOS,,Transport,Male,
8TA868RE592,F,Android,,GrabFood,Female,
1UF442DG299,F,Android,,GrabFood,Male,
8AF878VM244,F,Android,,GrabFood,Male,
8DG673IR906,F,iOS,,GrabFood,Female,
5YY405XV040,F,Android,,GrabFood,Female,
2NP887DY852,F,Android,,GrabFood,Female,
3RE333RA224,F,Android,,GrabFood,Female,
8DV328MF505,A,Android,,GrabFood,Male,
9TZ419EI504,G,iOS,,Transport,Male,
9WR471NF998,G,iOS,,GrabFood,Female,
9CX079AR171,G,Android,,GrabFood,Female,
8OD245JV257,G,iOS,,Transport,Female,2
2ET655OI058,G,Android,,GrabFood,Female,2
5IM061GU674,G,iOS,,GrabFood,Female,
5KO085DK861,G,Android,,GrabFood,Male,
1DV961IX837,G,iOS,,GrabFood,Male,
7UT146RW172,G,iOS,,GrabFood,Female,
4FF467HI143,G,Android,,GrabFood,Female,
1NO467UH568,G,iOS,,GrabFood,Male,
6BB161DX752,G,Android,,GrabFood,Female,
1IV919UZ151,G,Android,,GrabFood,Female,
9BB301WU912,A,iOS,,Transport,Male,
3YZ149EH037,A,iOS,,Transport,Male,2
9MX092AY531,A,iOS,,Transport,Female,
3NN785YV326,E,Android,May-22,Transport,Male,
2HF497XY227,A,iOS,,GrabFood,Female,
7GT425UG855,C,Android,,Transport,Female,2
8BG492YX674,E,Android,,Transport,Female,
3QF485NV942,C,iOS,,Transport,Female,
7FV819XA470,C,Android,,GrabFood,Female,2
9ED382LY932,E,iOS,,GrabFood,Female,
7NJ527VL009,E,Android,,GrabFood,Female,
6NV121EC150,E,iOS,,GrabFood,Male,
2KS392QN387,E,iOS,,GrabFood,Female,
6EI892SG702,E,iOS,,GrabFood,Female,
9VW436QQ813,A,iOS,,GrabFood,Male,
7DH878IA322,G,iOS,,Transport,Male,
1XY492DH586,G,Android,,Transport,Male,
1SQ866FC500,B,Android,,GrabFood,Female,
1OK071FO916,G,iOS,,GrabFood,Female,
6VA953UX891,G,Android,,GrabFood,Male,
2TL408NF777,D,iOS,Mar-22,GrabFood,Male,2
9JC825KF065,D,Android,,Transport,Female,2
7NN976WL842,A,iOS,,Transport,Male,2
2CY110SP999,C,Android,,GrabFood,Male,
2QN901BK287,C,Android,,GrabFood,Female,2
3CP869VT446,C,Android,,GrabFood,Female,
3KR225BM046,G,iOS,,Transport,Male,
1GL046OX006,G,Android,,Transport,Female,
5QT860RG116,E,Android,,GrabFood,Male,
9NX436LA082,E,Android,,GrabFood,Male,
7CD915ZS839,E,Android,,GrabFood,Male,
1CB775TZ038,E,Android,,GrabFood,Male,
3AZ084YJ053,E,Android,,GrabFood,Female,
7DH569FH617,E,Android,,GrabFood,Female,
4SF181SC659,E,Android,,GrabFood,Female,
3RF224RF866,E,Android,,GrabFood,Female,
6VZ144BA297,D,Android,,GrabFood,Male,
7GD104XO857,E,iOS,,GrabFood,Female,
6LA301OU113,B,iOS,,Transport,Female,
7UR446VO575,G,Android,,Transport,Male,
1NG786YS595,E,iOS,,GrabFood,Male,
7KW874FR089,E,iOS,,GrabFood,Female,
6VG794YC945,E,Android,,GrabFood,Female,
2HQ723CI523,E,Android,,GrabFood,Female,
4VV967RD434,C,Android,,Transport,Female,
2ZU086KK287,A,iOS,,GrabFood,Male,
8UD444AC152,A,Android,,Transport,Male,
8AF051TK701,A,iOS,,Transport,Male,
1DA358FW706,A,iOS,Mar-22,GrabFood,Male,
3LP531LO655,A,iOS,,Transport,Female,
5CB135KM164,A,Android,,GrabFood,Female,
7QB060JY817,A,iOS,,Transport,Female,
6KV562SG588,A,iOS,,Transport,Male,
6LP621MO482,A,iOS,,Transport,Female,
7BR962ED556,A,iOS,,Transport,Female,
2CS485OP269,A,Android,,GrabFood,Female,
7UM390LW352,A,iOS,,Transport,Female,
1QM193IM463,A,iOS,,Transport,Female,
2OK221QS311,A,iOS,,Transport,Female,
5PZ758EC131,A,iOS,,Transport,Female,2
2BI617KR222,E,Android,,Transport,Male,
3QK405RN352,A,iOS,,Transport,Female,
6JI869HG906,A,iOS,,Transport,Male,2
6IG997IE002,A,iOS,Mar-22,Transport,Male,2
3MH522VF281,A,iOS,,Transport,Female,
6MZ843UA509,A,Android,,Transport,Female,2
3XQ996TK222,A,Android,,Transport,Female,
1TP192GW588,A,Android,,GrabFood,Female,
9UN342OP335,A,iOS,,GrabFood,Male,
3HI538UD898,A,iOS,,GrabFood,Male,
2DF795MR734,A,Android,,GrabFood,Male,
7ZB665RG579,A,Android,,Transport,Male,2
2NS744DW957,D,iOS,,GrabFood,Male,
5BX336TT862,D,Android,,GrabFood,Female,
2RR381LS989,D,iOS,,GrabFood,Female,
3PP508HJ304,D,Android,,Transport,Female,
4MK157DL131,D,Android,,GrabFood,Male,
3ZG904ZC300,D,iOS,,GrabFood,Female,2
3OY272FK996,H,Android,,GrabFood,Male,
4YM043RM098,H,Android,,GrabFood,Female,
9LV489HY754,H,Android,,GrabFood,Female,
5EO353DH417,H,iOS,,GrabFood,Female,
8YT480WV361,H,Android,,GrabFood,Female,
7DO468TL694,H,Android,,GrabFood,Female,
1RB046ZX829,H,Android,,GrabFood,Male,
1RH951AR749,A,iOS,,Transport,Female,
7UD732WH758,H,Android,,GrabFood,Female,
1AG932UR883,H,Android,,GrabFood,Female,
4ST695CQ370,H,Android,,GrabFood,Male,
2WV545AI758,H,Android,,GrabFood,Female,
5NX922QR778,H,iOS,,GrabFood,Female,
2RV938PY457,F,iOS,,GrabFood,Female,
9CG587LB847,F,iOS,,GrabFood,Male,
8KY039KC451,F,iOS,,Transport,Male,2
8AZ639RX480,F,iOS,,GrabFood,Male,
1OX257ZN398,B,Android,,Transport,Female,
1OT236HS489,G,iOS,,GrabFood,Female,
1QF358HF126,G,Android,,GrabFood,Male,
8ZT470WX649,G,Android,,Transport,Female,
5NK982OV750,G,Android,,GrabFood,Female,
6IL259UZ845,G,Android,,Transport,Female,
5PK182MN769,G,iOS,,GrabFood,Female,
6ST858JL141,G,iOS,,GrabFood,Male,
9PW495VS234,G,Android,,GrabFood,Female,
9LH754ZV576,G,Android,,GrabFood,Female,
7ZB481NB457,G,iOS,,GrabFood,Female,
8NI239HN787,G,Android,,GrabFood,Female,
2WZ620UJ542,G,Android,,GrabFood,Female,
6JV652BF259,G,Android,,GrabFood,Male,
8FB526NC936,G,iOS,,GrabFood,Male,
3OT934HK493,G,Android,,GrabFood,Female,
4LK088UA898,G,Android,,GrabFood,Male,
9VU393FA990,G,Android,,GrabFood,Female,
8DA925GT755,A,Android,,GrabFood,Male,
6GJ078TM567,G,Android,,GrabFood,Female,
4LQ067EX935,G,iOS,,GrabFood,Female,
5ZO690VR605,G,Android,,GrabFood,Female,
3JR770FI353,G,Android,,GrabFood,Female,
1OM841LY055,G,Android,,GrabFood,Male,
4YS847VX492,G,Android,,GrabFood,Female,
2UZ666OZ666,G,Android,,GrabFood,Female,
9XO226DD333,G,Android,,GrabFood,Male,
4PT349TE344,G,iOS,,GrabFood,Female,
5VW115LI460,G,Android,,GrabFood,Female,
4GI583NW423,A,Android,,Transport,Male,
4WF855UA319,A,Android,,GrabFood,Male,
7TQ099QR774,A,iOS,,GrabFood,Male,
1CL289II099,A,iOS,,GrabFood,Female,
8MU455KI049,C,iOS,,Transport,Female,2
7OE113CA034,C,iOS,,GrabFood,Male,2
8YA704ZK005,C,Android,,Transport,Male,
5US085UD226,B,iOS,,Transport,Male,
5CU578SC507,C,iOS,,Transport,Male,2
6MX855XP794,C,iOS,,GrabFood,Male,
2IM864RO730,C,iOS,,Transport,Male,2
9DB688JY045,C,Android,,GrabFood,Female,
5BI559II381,C,Android,,Transport,Female,
3WU344EF360,C,iOS,,GrabFood,Female,
4VS527FW791,C,Android,,GrabFood,Male,
2WE816RP188,C,iOS,,GrabFood,Female,
8MD321EB119,C,Android,,GrabFood,Male,
1BW870NC963,C,iOS,,Transport,Female,
5AS197EX624,C,iOS,,GrabFood,Male,
3ST802MO033,C,Android,,GrabFood,Female,
3SF140PZ932,C,Android,,GrabFood,Male,
8FR826VW626,A,Android,,Transport,Male,
9DC699OC227,C,Android,,GrabFood,Female,
9IG415ZP321,C,Android,,Transport,Female,
2NY076UK542,A,Android,,Transport,Female,
1MK227YV757,A,Android,,GrabExpress,Female,2
2EP886OL987,A,iOS,,Transport,Female,
2SC792XN697,A,iOS,,Transport,Female,2
4TU473PO447,A,Android,,Transport,Female,
8BW574NK770,A,Android,,Transport,Male,
2MZ697KT040,A,Android,,GrabFood,Female,
8NS898RK541,A,iOS,,GrabFood,Female,
2KZ114NQ104,A,Android,,Transport,Female,
5HV121IR134,A,iOS,,GrabFood,Female,
8ZN103EK582,A,Android,,Transport,Male,
1SH940EN801,A,iOS,,Transport,Female,
9GA392GA025,D,iOS,,GrabFood,Male,
9BU664TN422,A,Android,,GrabFood,Male,
4JC061BV051,A,Android,,GrabFood,Male,
6LI112UK023,A,Android,,GrabFood,Male,
2AH124AH258,A,iOS,,GrabFood,Female,
7ZM118IR471,A,Android,,Transport,Male,
9UI908TD199,A,iOS,,Transport,Female,
6XO524EK422,D,iOS,,GrabFood,Male,
7KQ505BO764,A,iOS,,GrabExpress,Male,
4RW151DI213,A,Android,,Transport,Female,
3BP588DM761,A,Android,,GrabFood,Male,
7ZF216EM784,D,Android,,GrabFood,Male,
5MS412VV069,D,iOS,,GrabFood,Male,
9IQ812DY229,D,Android,,GrabFood,Female,
1XI499XO129,D,Android,,GrabFood,Female,
2CP765MW504,D,Android,,GrabFood,Female,
6DH298LA752,A,iOS,,Transport,Female,
2KM722GT822,D,Android,,GrabFood,Male,
9LY435TD050,D,iOS,,GrabFood,Male,
1XE545KU191,D,Android,,GrabFood,Female,
9PW499EH703,D,iOS,,GrabFood,Female,
4LR064VK447,D,iOS,,GrabFood,Male,
2SC391FE558,D,Android,,GrabFood,Male,
3SO958SX328,D,iOS,,GrabFood,Female,
7AP037VA086,D,Android,,GrabFood,Female,
5RL840EF836,A,Android,,GrabFood,Female,
5XV195MV519,E,iOS,,Transport,Female,2
1FW261IC673,C,Android,,GrabFood,Female,
7BZ219JG698,A,iOS,,Transport,Male,
1NA820QI149,C,Android,,GrabFood,Female,
8MD489PQ227,C,Android,,Transport,Female,2
7EM591WH570,C,iOS,,Transport,Female,2
7JH674ZI049,C,Android,Mar-22,Transport,Female,2
2SR461QN410,C,iOS,Jun-22,GrabExpress,Female,2
9OQ362QK081,C,iOS,Feb-22,GrabFood,Male,2
2SL654BT634,C,iOS,,GrabFood,Female,
7DC221UT796,C,iOS,,Transport,Male,2
7SG878YV553,C,iOS,,GrabFood,Female,
2ZK951QT066,C,iOS,,Transport,Female,
9MJ655OW110,E,Android,,GrabFood,Female,
5EI560YR256,C,iOS,Feb-22,Transport,Male,
7BG945HA931,C,Android,,Transport,Female,
1TU422WI762,A,Android,,GrabFood,Female,
6LD105ZZ332,A,iOS,,GrabFood,Female,
1OI706KZ544,A,iOS,,GrabFood,Male,
9FM208SI252,A,iOS,,Transport,Female,
9QE263TS616,A,Android,,GrabFood,Male,
6PH846QC495,A,Android,Apr-22,GrabFood,Female,4
9PW517UR654,A,iOS,,Transport,Male,2
5VR814NY483,A,iOS,,GrabFood,Male,
9BX209PU962,A,iOS,,GrabFood,Female,
4VL679OB269,A,Android,,GrabFood,Female,
1UC491TX216,A,iOS,,Transport,Male,2
6XH658VD049,E,iOS,,GrabFood,Female,
4TB121NK510,E,Android,,GrabFood,Female,
2OQ875IS081,E,Android,,GrabFood,Male,
5BW468NF515,E,iOS,,GrabFood,Female,
9ZX533DU121,E,Android,,GrabFood,Female,
4ZN728AX287,D,Android,,GrabFood,Female,
8UA779SX047,D,iOS,,Transport,Female,
5QR818QL947,D,Android,,GrabFood,Male,
7OD170EJ525,D,Android,,GrabFood,Female,
9ZU472VU446,F,iOS,,GrabFood,Female,
8UW413EG213,G,Android,,GrabFood,Male,
6YO636AQ410,G,Android,,GrabFood,,
8EG012KQ523,G,iOS,,GrabFood,Male,
3UJ182OI315,G,iOS,,GrabFood,Female,
8SC325EE613,G,Android,,GrabFood,Female,
7MC379ZM714,G,iOS,,GrabFood,Male,
3UM344FN736,G,Android,,GrabFood,Female,
1CW022VH852,G,iOS,,GrabFood,Female,
5GK883RX670,G,iOS,,Transport,Female,
5HB146EZ230,B,iOS,,GrabFood,Male,2
7XT527JZ904,B,Android,,GrabFood,Female,
5GV639HG825,A,iOS,,Transport,Female,
2MV892PB499,B,Android,,GrabFood,Female,
4RF073IY530,A,iOS,,Transport,Female,
6YW633JX786,C,iOS,,Transport,Female,
6DI624PR560,B,iOS,,Transport,Female,
9RU585TZ813,G,iOS,,Transport,Female,
7DX998MR584,A,iOS,,Transport,Female,
8YU582DX793,D,Android,,GrabFood,Male,
1RS058SB517,C,Android,,GrabFood,Female,
9MV162SQ668,A,iOS,,Transport,Male,
3LW723YV837,A,Android,,GrabFood,Female,
4WZ624JT689,A,Android,,Transport,Female,
2DG824UI280,A,Android,,Transport,Female,
8BM810JS582,A,Android,,Transport,Male,
8NA008EL131,A,Android,,Transport,Female,
3YD733VK397,A,Android,,Transport,Male,
4HO929NC784,A,iOS,,GrabExpress,Male,
5QP473LR928,A,iOS,,GrabFood,Female,
1WF924XB998,A,Android,,GrabFood,Female,
8MY078QO471,A,iOS,,Transport,Female,
5WA403WN506,A,Android,,Transport,Male,
7HT587NH324,A,Android,,Transport,Male,
5FS119XK566,A,Android,,Transport,Female,
3BV782BM982,A,Android,,Transport,Male,
2NT013LO928,A,Android,,GrabFood,Female,
8GO553NB992,A,Android,,GrabFood,Male,
5TB357CT529,A,iOS,,Transport,Female,2
6CT272UN020,B,Android,,GrabFood,Female,1
9XW661MN841,B,iOS,,Transport,Female,
6ER488CR887,C,iOS,,Transport,Female,
6WI797OZ576,C,iOS,,GrabFood,Female,
2QF836FI865,C,Android,,GrabFood,Male,
9CM265ZE111,C,Android,,GrabFood,Female,
8VC954CX130,D,Android,,GrabFood,Female,
9FA121UI127,F,Android,,GrabFood,Female,
5OY600DV806,F,Android,,GrabFood,Female,
4RO645TP978,A,Android,,GrabFood,Female,
5BW124IO523,F,Android,,GrabFood,Female,
1CC484QC358,F,Android,,GrabMart,Female,
2LU782FN752,F,Android,,GrabFood,Female,
6SO867OS791,F,iOS,,Transport,Male,
4OL973JI328,D,Android,,Transport,Female,
6EY641WI414,F,Android,,GrabFood,Female,
1NV332UL003,F,Android,,GrabFood,Female,
2OI724JL098,F,Android,,GrabFood,Female,
9DJ037SP684,F,Android,,GrabFood,Female,
5AN094YJ213,F,iOS,,GrabFood,Female,
7RH320GO220,F,iOS,,GrabFood,Female,
7AC010YH175,F,Android,,GrabFood,Male,
